CANADA 90ITEMS
09002N
11701140
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
   54180 1333133333333331133311113311111331311331331133133311331131113
   54180 2311113111333313133133313331313
   55200 1131113113333331133111131111131131113313311111113313331313111
   55200 2311111111311111131111111311332
   56210 1333131331333331133311133313311331313333331133333313311133333
   56210 2313313133333333111131313331133
   57190 1133131313333133133311131313131333333113313331133333333133333
   57190 2333131333331313131131313331311
   58300 1333113333133313331313113113111111111333313131333313333113313
   58300 2313311331333311133133313311333
   59210 1133133333333131333311131313311131311331311133113313331111333
   59210 2313113111331331111133313331333
   60211 1333313333331133133311233311313131113313333133333113331131333
   60211 2313131312313313111313313333112
   61320 1332313333333331133333113311133111111311311111333313331113113
   61320 2311113311133311113133313333333
   62211 1333133131331131133111113311113131113113311133113313311133333
   62211 2313311313311311111313313331113
   63241 1131113313333331133311313311111131333333331133133311331133133
   63241 2313111131331313111113313131333
   64251 1331113113333331133111113111111111111311111133113313331113113
   64251 2313111111331311111113111331333
   65190 1133131333333311311311133313311331311333133131333113133131333
   65190 2311313333113313313133313331313
   66200 1333133113333311133331111113111331331333331133333313333133313
   66200 2311313331313313133133313331333
   67210 1133113333133111133113133313111311311333113131113331333133333
   67210 2333113311133313131133313311313
   68241 1331131133333331133111133113111131113313311133333313331313133
   68241 2311313111331311131111313331333
   69190 1131133333331131133111331111111331313333311111133313331133311
   69190 2313113333331111111113313331333
   70180 1133133313333331133311133313113131313331111131113313333113311
   70180 2331333111133111333111313333333
   71200 1131133313333311133313133313131111331333131331133313133113311
   71200 2331113131133311333131113331333
   72390 1131133113333311133311111111131131331313311113133311331331113
   72390 2313133311333311113113313331333
   73200 1131113113333311133333111311111131331313313111133311331313311
   73200 2311313131133311133133313331333
   74190 1333133313333331333313133311311131313333311133133313333113311
   74190 2311313331333311111133113331313
   75220 1333333333133331333313133313111131311313333131133313331313311
   75220 2313313311333311111131111311333
   76400 1333133333133313113313131113131311311331133111113313131313311
   76400 2311311131133313111131113311333
   77180 1333133313331331133113133311311331113113331133311313331313333
   77180 2331311333331333331313313331313
   78301 1333133113331133133113113311111331313311311333133313333133133
   78301 2331111113331311113113313331313
   79191 1131111131331131133111313311311131111313111133113313333111133
   79191 2313313113131331111113311331313
   80360 1133113333133311313111113111331111311333113111113311311333333
   80360 2313311111131311111113113311333
   81230 1333113333333133131311313311311131331313133331313313331133333
