ZIMBAWE 90ITEMS
09002N
11641146
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
   89401 1131313113333331133113111311111131131331313113133313331
   89401 2333113311111111331311113113311331333
   90230 1133113313333113133313131313111131313311113131113313331
   90230 2313313331113133131311131131313311333
   91250 1333133313333133131133131313111113333333313133133313331
   91250 2333313331113313333311333133313133333
   92420 1333333313333121132311133313211131133313311133133311331
   92420 2313333313311331333311111313113333333
   93301 1333313313333131133311113113113131113333311113133313333
   93301 2313313313313133333311111333313331333
   94501 1333213123233311133333111131133111133331113111331311133
   94501 2333123313231111332111113131111333133
   95361 1333113133333131333111113113313133111313311133133311331
   95361 2313131313331113311311311313113313113
   96301 1333333313331131133111131213111131113313311133133311331
   96301 2333333311113113333331111331313333333
   97221 1331313113331313133133111313111331133333311111131311311
   97221 2311113311111311111111123111113131333
   98401 1133111113333331133133111111113111111311111131131111331
   98401 2313113311131313333331133113113121133
   99301 1133111113333331333313131313113113133313113113131311331
   99301 2133133333111313331111113311313333333
  100341 1133113113333131133133111313111311133333311133111111331
  100341 2333113311111111333111113111313131333
  101351 1311313113333331333133111113131111131311313113131311331
  101351 2333113311111111331311113111311131133
  102391 1313113333333311113313113313332331111333111111313311131
  102391 2113113231321113133111311333111323333
  103361 1113113313133313111333131113131111131331113111131131131
  103361 2313113331113311133111133111311111333
  104290 1333333333333133333311133313113131313333311133132311331
  104290 2313313313333313333331311313313313333
  105361 1331133111331131133111113311131111133311111133113311331
  105361 2311133313311313331331111113311331133
  106381 1333133333333133133111113113111131111333311133133313331
  106381 2113133313313113333311131133313333333
  107411 1333113133333331133313133113131131313333313113133311331
  107411 2313333313332313313331311133111333333
  108331 1113331113333333133311131111131131113333311133113313331
  108331 2331133311111111331311113113311133333
  109251 1333313113333113131311131111131131111131311133133311331
  109251 2333333333131331333113131333313333333
  110230 1313333333131133131311133331111333113333311133333333331
  110230 2333331331113313333333111133313313313
  111321 1321313113333331333131113113131131133313313113133311331
  111321 2313113313111311331111113113111131133
  112221 1333333313333133333311133333113133113331111333333331331
  112221 2333313313313111331311313331333333333
  113521 1333113113333131133113113111131131133313311111113313331
  113521 2133313331311111131311311313111311133
  114240 1113133313333333131311131311113311311331331133133313331
  114240 2333311111113111333313311111313331333
  115421 1333313113133311133111111113111133111313311133131311311
  115421 2113313311311111311111113113111311133
  116310 1333333313333133333313111331131331111333311131133311331
  116310 2333333311113311133311113133313331333
  117250 1133313333133111113333131113131311331331113111131111131
  117250 2311313331113111133111133133113111333
  118311 1131113113333131131113133133131311131333113313113311131
  118311 2313311311111311331313113131111331333
  119351 1333111113333131133333131313131113111313313111133311331
  119351 2331313313131311333111333131311133333
  120310 1331333313333331133331113311111131133331311113111311331
  120310 2313113311313113331311111113311311333
  121561 1131313111233311133113113111131131113313313111113311331
  121561 2333313333113113131311111113111311133
  122561 1331311113331331133131111113131131133331311131111311331
  122561 2333113311111111333311113313111131333
  123360 1131313311333111133132111311133311133331113113131311131
  123360 2311313311111311333131113133311311331
  124391 1133113313333311133111133113331331323313331313313313311
  124391 2313111331331113133113133333311333133
  125300 1131113333333131313331113311131111131333113131133311331
  125300 2313331333113113333311113133113331333
  126310 1133133113333331133331111313111111133313311133331311331
  126310 2331133311113111331331111133311131333
  127401 1133331313333311131313111113111113133133111131133311333
  127401 2311131311111313333311331133313333333
  128330 1133133313331331133331131131131111111333113111131111131
  128330 2311111331113133333311333313111333333
  129241 1333113131331131133111113311111131111313311133133311311
  129241 2311133313311113331311111113111331333
  130210 1331333133331133333113113311111111111313311133133313331
  130210 2133333313113111331311113133311333313
  131231 1131313133333331133133131313311131333333311132133113331
  131231 2131313333313113333311133113333313233
  132331 1333133121233113133313131312113131313313133133333313333
  132331 2313333311313113133311113133313331333
  133441 1131113133331331331313113111311131111313311131113313331
  133441 2333133313311313131311111113113111133
  134251 1311333333133313133333331133313123333333111333331321313
  134251 2333333333313133213333333311333313333
  135220 1333323313333133333312133313111131331333311113133111331
  135220 2133331311113133333331131333313331333
  136321 1131113313333331133133111313111131131313111131113311331
  136321 2333333311111111333111113113313131331
  137251 1131311133331131331333113111111311133313133313113113311
  137251 2333313313111313333211111313313131133
  138381 1131311333331311133113111113131111131331111133131311331
  138381 2113313333113111331311131113111313133
  139221 1313333333333133333333133313311131313333331333333313333
  139221 2131331333331333333333131333313313313
  140221 1133133313333313131313133111131331311331113131131313131
  140221 2113311331113313133313333133113331333
  141221 1333113331333133333313131313113131111333111311113311331
  141221 2111331333133113331311111131333131331
  142271 1133333333133131311333133313131111331333113133133311331
  142271 2313333333111313333311131333313313333
  143251 1333313133133131333111133311111131111333111131113313331
  143251 2133133311313111331111111113313331313
  144230 1113133333333333133111133113331131113313311113313113331
  144230 2133333313311133331311111113313331333
  145301 1131131133331131333111111111131111111333111131133311311
  145301 2131131313331313111331111313113333313
  146230 1333331133313133131111131111313131313333311311133313333
  146230 2113313313111313331313113113313333331
  147261 1333313333133133333113133311331131113333213131133333331
  147261 2313331313313113133311131213313313333
  148391 1333313113333331133133111313131131113331311111131311331
  148391 2333113311111311333111113131111131333
  149361 1333113333333111131133113111131131131333311113133311333
  149361 2111311131131331111133331331133313311
  150291 1131113113333111133113113311111131113313113131313133313
  150291 2333133311311113131311111113313133133
  151251 1333113113333331133331113313131131133333311133133311331
  151251 2111333313313113333331313133313331333
  152221 1333113131133331133313133313133111313333113133133313133
  152221 2313333333111313333311113313113333333
  153291 1331133113331111133313133111313111113131311311113111133
  153291 2131311333111311113311113313111311133
  154411 1333113113333331133111111313131331331311333133131311331
  154411 2333313311113111331311133313113131333
  155280 1133113333133133333313133111311111311333113131133113331
  155280 2113311333113113131311131133113311313
  156240 1333133113333331133131111313111131131313311133113311311
  156240 2113113311113111333311113111311131333
  157200 1313113331333331333311133111311131311311111131113313331
  157200 2113311311113113233311331133113331313
  158250 1313313333333133333333113123313311311133111331232213333
  158250 2313113111131311331313113331133113131
  159630 1323113331133331113333331311331331131311311313311133311
  159630 2331133113311313322313113313131131313
  160180 1333131113331111133133111113111131111333311111133311331
  160180 2313313311133311133131133131311331131
  161220 1333131113133311133133111133331133131331313111131311331
  161220 2313113331333111111313333111111313133
  162470 1331133113331331133311131111111131311331111113131113333
  162470 2133311311111111331311113131313133333
  163540 1331133133333313133313131111131131311311311113113113331
  163540 2333113311111111333311113131111131313
  164321 1333113313333331133111113113331131111313311131133311331
  164321 2133133311311113131311111113313311333
  165221 1311113331331131133311113311311131113313231133313313331
  165221 2311133313311113331331111313313333313
  166501 1133133313333311133333133113331311311333331131133313133
  166501 2333333333311113113313131131311311333
  167190 1123131313333333331313123313331131111311312131313311331
  167190 2113331333111333133311111133313331313
  168340 1333131313331331131131113311111131133313311133113313311
  168340 2333333311313333331111111113313333133
  169191 1333333333333133333313133313313133313133313133333313333
  169191 2133333333313113333331331333333331313
  170181 1131311331333131131331133311313131133313133333133313311
  170181 2111331333311333111311133113333311313
  171200 1133313133133133333313133333113131311333133133333133333
  171200 2313331333333131133311131331333311313
  172180 1333113313333113133113131111111331111333133111133113133
  172180 2333333311311133131333111113113331333
  173291 1331313133333331133133113111111131133333313131133313331
  173291 2331313313313313311311133311313113333
  174580 1131133313333311133331111111131131133331331113131111331
  174580 2333313331111311333111133111313333331
  175200 1333133313333333133331113313111131331333111133331311331
  175200 2113313311113131331311111133313331333
  176170 1133331333333133131111333313311131133313313333113313331
  176170 2111333333113313133311131133313331313
  177211 1113133133333311133131113113111111131333113133133313331
  177211 2331333313133313333311313113113133333
  178221 1133113313333131131331333313111331331311311133133311333
  178221 2313311311111113331111113311313331133
  179241 1313313113133331133333311131313133133333331113113331133
  179241 2131311331311331133311113311331313133
  180240 1133333113133113133333131113111331321311113111131311331
  180240 2311331313113113133311133133111313113
  181250 1333113313333311133333111111111131133333313333111331133
  181250 2311313331133313313311133133311133333
  182200 1333313113333331333331131113111331111333311111131313331
  182200 2333113313131131333313133111313131133
  183240 1333313333333333133111131311133313311331313333133313331
  183240 2333333331333311133311331131311333313
  184260 1333113113333133133111133313133331111333311111133311333
  184260 2313313331133113333311331133333333333
  185250 1133313113313331133331131313111131133333311111133313331
  185250 2333313311111111333311113113311131331
  186250 1133113113333331133133131113111331131331113111111311331
  186250 2113113331311111333313131233123131212
  187230 1333313323313331133133132311133131133333313113133311131
  187230 2331313333333113311311333131311333333
  188200 1331313113313331133333131113131131131333313111131311331
  188200 2331113311113311333311133123313311133
